"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",50.952885%,50.952885%,50.952885%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.275191%,6.275191%,6.275191%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.180672%,1.180672%,1.180672%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.490456,0.490456,0.490456
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",66.249178%,66.249178%,66.249178%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",7.828949,7.828949,7.828949
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",36.915657%,36.915657%,36.915657%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.965596%,7.965596%,7.965596%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.030113%,1.030113%,1.030113%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_000040f6_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.482408,0.482408,0.482408
