"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMax<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.941759,0.941759,0.941759
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMax<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",1.755890%,1.755890%,1.755890%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMax<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",4.606638%,4.606638%,4.606638%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMax<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",85.114138%,85.114138%,85.114138%
"GeForce GTX 1080 Ti (0)","void kernelReduceAllPass1<float, unsigned int, float, thrust::identity<float>, ReduceMax<float>, int=1>(TensorInfo<float, unsigned int>, unsigned int, float, float, thrust::identity<float>, float*)",1,"achieved_occupancy","Achieved Occupancy",0.987228,0.987228,0.987228
"GeForce GTX 1080 Ti (0)","_ZN2at6native34im2col_kernel_kernelHistogram1D_1xIffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"issue_slot_utilization","Issue Slot Utilization",31.813719%,31.813719%,31.813719%
"GeForce GTX 1080 Ti (0)","_ZN2at6native34im2col_kernel_kernelHistogram1D_1xIffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",2.156779,2.156779,2.156779
"GeForce GTX 1080 Ti (0)","_ZN2at6native34im2col_kernel_kernelHistogram1D_1xIffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",3.194197%,3.194197%,3.194197%
"GeForce GTX 1080 Ti (0)","_ZN2at6native34im2col_kernel_kernelHistogram1D_1xIffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",21.609903%,21.609903%,21.609903%
"GeForce GTX 1080 Ti (0)","_ZN2at6native34im2col_kernel_kernelHistogram1D_1xIffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",14.853042%,14.853042%,14.853042%
"GeForce GTX 1080 Ti (0)","_ZN2at6native34im2col_kernel_kernelHistogram1D_1xIffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"achieved_occupancy","Achieved Occupancy",0.998664,0.998664,0.998664
