"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.602363,0.602363,0.602363
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.405837%,0.405837%,0.405837%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",2.274517%,2.274517%,2.274517%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",96.036964%,96.036964%,96.036964%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.366450,0.366450,0.366450
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",89.381156%,89.381156%,89.381156%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",11.228626,11.228626,11.228626
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",35.006932%,35.006932%,35.006932%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.193519%,7.193519%,7.193519%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.556679%,1.556679%,1.556679%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.484255,0.484255,0.484255
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",41.021186%,41.021186%,41.021186%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",3.053579,3.053579,3.053579
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",55.541745%,55.541745%,55.541745%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",5.628550%,5.628550%,5.628550%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",14.356881%,14.356881%,14.356881%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.247757,0.247757,0.247757
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",38.815916%,38.815916%,38.815916%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",2.546914,2.546914,2.546914
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",72.216705%,72.216705%,72.216705%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.050697%,6.050697%,6.050697%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.138847%,1.138847%,1.138847%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.210391,0.210391,0.210391
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",38.553470%,38.553470%,38.553470%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",2.552541,2.552541,2.552541
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",72.835168%,72.835168%,72.835168%
